,track_name,track_id,track_popularity,artist_name,artist_id,track_image_link,release_date
110,Right Now,58Q3FZFs1YXPpliWQB5kXB,72,NewJeans,6HvZYsbFfjnjFrWF950C9d,https://i.scdn.co/image/ab67616d0000b2737e1eeb0d7cc374a168369c80,2024-06-21
111,Love Station,2D1xAiDD33nqcxtSMH30hO,47,Lim Young Woong,75MOYjGEyyH5U4ZFHOPvxR,https://i.scdn.co/image/ab67616d0000b2738f116e476da669a9a3e7dcaa,2022-05-02
112,The Astronaut,0h7QMc9ZRzA9QJrbEHytn2,83,JIN,5vV3bFXnN6D6N3Nj4xRvaV,https://i.scdn.co/image/ab67616d0000b27343aaff780ea621da5ce4eb0a,2022-10-28
113,I Just Love Ya,0WUYhwQ1U4BETRP71oTKNF,52,PLAVE,0k2zyzGq6HX383VlMBOvRG,https://i.scdn.co/image/ab67616d0000b273772deb037d678ad1355262ca,2023-08-24
114,Get A Guitar,4H65EdACzwqV8sTt3dDyA0,68,RIIZE,2jOm3cYujQx6o1dxuiuqaX,https://i.scdn.co/image/ab67616d0000b27308f9aed64208e0f8d9e10f0e,2023-09-04
115,EASY,2O4Bb2WCkjlTPO827OnBMI,77,LE SSERAFIM,4SpbR6yFEvexJuaBpgAU5p,https://i.scdn.co/image/ab67616d0000b273110f5426b8c149e80804912a,2024-02-19
116,My Starry Love,0NPR33dSDeDdlWS4aaN3dc,47,Lim Young Woong,75MOYjGEyyH5U4ZFHOPvxR,https://i.scdn.co/image/ab67616d0000b273c5e163c2edcdb27d99e405c5,2021-03-09
117,Dear. PLLI,3dQHlnZMraJowb43SREjEb,52,PLAVE,0k2zyzGq6HX383VlMBOvRG,https://i.scdn.co/image/ab67616d0000b273772deb037d678ad1355262ca,2023-08-24
118,Pierrot,411fZBnpfU4eIDIZmDKswx,72,LE SSERAFIM,4SpbR6yFEvexJuaBpgAU5p,https://i.scdn.co/image/ab67616d0000b273485623bc41b6760fc1bca2f4,2024-08-30
119,New Jeans,6rdkCkjk6D12xRpdMXy0I2,76,NewJeans,6HvZYsbFfjnjFrWF950C9d,https://i.scdn.co/image/ab67616d0000b2733d98a0ae7c78a3a9babaf8af,2023-07-07
120,Pixel world,0TU3HvHsqJyKVBP8eFIUFQ,53,PLAVE,0k2zyzGq6HX383VlMBOvRG,https://i.scdn.co/image/ab67616d0000b273a99b90fd4a32ab85a30e79bd,2023-03-12
121,Here With Me,0dS2u2UFd88TIzDDaZDLvS,47,d4vd,5y8tKLUfMvliMe8IKamR32,https://i.scdn.co/image/ab67616d0000b273c4ddcc23f630f4c2728a5255,2022-09-22
122,Espresso,2qSkIjg1o9h3YT9RAgYN75,93,Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,https://i.scdn.co/image/ab67616d0000b273659cd4673230913b3918e0d5,2024-04-12
