,track_name,track_id,track_popularity,artist_name,track_image_link,release_date
77,Roman Guitar,Um9tYW4gR3VpdGFyX1RvbnkgTW90dG9sYSB5IFN1IE9ycXVlc3Rh,34,Tony Mottola y Su Orquesta,https://i.scdn.co/image/ab67616d0000b2732eb17c967cf3e36676ad988f,1950-05-26
78,Quiet Village,UXVpZXQgVmlsbGFnZV9MZXMgQmF4dGVy,24,Les Baxter,https://i.scdn.co/image/ab67616d0000b27322e801ad6c2fd9e839680bcd,1951-01-01
79,La Boa,TGEgQm9hX0xhIFNvbm9yYSBTYW50YW5lcmE=,35,La Sonora Santanera,https://i.scdn.co/image/ab67616d0000b2738a61c81e717075df6e7b389d,1950-01-01
80,Por un Puñado de Oro,UG9yIHVuIFB1w7FhZG8gZGUgT3JvX0xhIFNvbm9yYSBTYW50YW5lcmE=,21,La Sonora Santanera,https://i.scdn.co/image/ab67616d0000b27366ac8dd456ffe26126dfc4f1,1950-01-01
81,Bésame por Favor,QsOpc2FtZSBwb3IgRmF2b3JfTGEgU29ub3JhIFNhbnRhbmVyYQ==,24,La Sonora Santanera,https://i.scdn.co/image/ab67616d0000b2732c779dfbc19f362ffc0c171b,1950-01-01
82,I Don't Care If The Sun Don't Shine,SSBEb24ndCBDYXJlIElmIFRoZSBTdW4gRG9uJ3QgU2hpbmVfRGVhbiBNYXJ0aW4=,25,Dean Martin,https://i.scdn.co/image/ab67616d0000b273950cac8aaeeabc0b441c5e91,1950-01-01
83,Tammy,VGFtbXlfVGhlIEFtZXMgQnJvdGhlcnM=,29,The Ames Brothers,https://i.scdn.co/image/ab67616d0000b2736d030545d0bb6497ed3d7f3e,1950-11-26
84,J'ai Deux Amours,SidhaSBEZXV4IEFtb3Vyc19Kb3PDqXBoaW5lIEJha2Vy,28,Joséphine Baker,https://i.scdn.co/image/ab67616d0000b273c20a63cb08d8a87791f0b978,1951-05-26
85,Ataypura!,QXRheXB1cmEhX1ltYSBTdW1hYw==,28,Yma Sumac,https://i.scdn.co/image/ab67616d0000b273877856148e333f819dbdcffe,1950-01-01
86,The Chase,VGhlIENoYXNlX1RhZGQgRGFtZXJvbiBTZXh0ZXQ=,20,Tadd Dameron Sextet,https://i.scdn.co/image/ab67616d0000b273c9c5b186c075ee60acf2b428,1951-01-01
